"Name","Start","End","Duration","Process"
"ManicTime - Estándar (gratis)","2023-05-04T18:16:29.0000000","2023-05-04T18:17:27.0000000","0:00:58","ManicTime"
"MagicTime aplication - Buscar con Google - Google Chrome","2023-05-04T18:17:27.0000000","2023-05-04T18:17:43.0000000","0:00:16","Google Chrome"
"Cómo saber cuánto tiempo pasamos en Internet o cada programa - Google Chrome","2023-05-04T18:17:43.0000000","2023-05-04T18:17:53.0000000","0:00:10","Google Chrome"
"ManicTime - Estándar (gratis)","2023-05-04T18:17:53.0000000","2023-05-04T18:18:15.0000000","0:00:22","ManicTime"
"Guardar como","2023-05-04T18:18:15.0000000","2023-05-04T18:18:21.0000000","0:00:06","ManicTime"
"ManicTime - Estándar (gratis)","2023-05-04T18:18:21.0000000","2023-05-04T18:18:37.0000000","0:00:16","ManicTime"
"Importar y Exportar","2023-05-04T18:18:37.0000000","2023-05-04T18:18:55.0000000","0:00:18","ManicTime"
"Cómo saber cuánto tiempo pasamos en Internet o cada programa - Google Chrome","2023-05-04T18:18:55.0000000","2023-05-04T18:19:12.0000000","0:00:17","Google Chrome"
"Sistema operativo Microsoft® Windows®","2023-05-04T18:19:12.0000000","2023-05-04T18:19:32.0000000","0:00:20","Sistema operativo Microsoft® Windows®"
"Cómo saber cuánto tiempo pasamos en Internet o cada programa - Google Chrome","2023-05-04T18:19:32.0000000","2023-05-04T18:19:48.0000000","0:00:16","Google Chrome"
"ManicTime - Estándar (gratis)","2023-05-04T18:19:48.0000000","2023-05-04T18:20:05.0000000","0:00:17","ManicTime"
"Cómo saber cuánto tiempo pasamos en Internet o cada programa - Google Chrome","2023-05-04T18:20:05.0000000","2023-05-04T18:20:53.0000000","0:00:48","Google Chrome"
"RV: OPS/OMS - ARG/EIH/5426.(41468)/23  - Cuestionario mundial de la OMS sobre los sistemas de registro civil y la implementación e información de la Familia de Clasificaciones Internacionales de la OMS (OMS-FIC) - Mensaje (HTML) ","2023-05-04T18:20:53.0000000","2023-05-04T18:23:19.0000000","0:02:26","Microsoft Outlook"
"ManicTime - Estándar (gratis)","2023-05-04T18:23:19.0000000","2023-05-04T18:26:38.0000000","0:03:19","ManicTime"
"infovis ECD 2022B (2023-05) - Hojas de cálculo de Google - Google Chrome","2023-05-04T18:26:38.0000000","2023-05-04T18:26:43.0000000","0:00:05","Google Chrome"
"Cómo saber cuánto tiempo pasamos en Internet o cada programa - Google Chrome","2023-05-04T18:26:43.0000000","2023-05-04T18:27:50.0000000","0:01:07","Google Chrome"
"ManicTime - Estándar (gratis)","2023-05-04T18:27:50.0000000","2023-05-04T18:28:00.0000000","0:00:10","ManicTime"
"RV: OPS/OMS - ARG/EIH/5426.(41468)/23  - Cuestionario mundial de la OMS sobre los sistemas de registro civil y la implementación e información de la Familia de Clasificaciones Internacionales de la OMS (OMS-FIC) - Mensaje (HTML) ","2023-05-04T18:28:00.0000000","2023-05-04T18:28:06.0000000","0:00:06","Microsoft Outlook"
"infovis ECD 2022B (2023-05) - Hojas de cálculo de Google - Google Chrome","2023-05-04T18:28:06.0000000","2023-05-04T18:28:18.0000000","0:00:12","Google Chrome"
"Microsoft Viva Insights - Google Chrome","2023-05-04T18:28:18.0000000","2023-05-04T18:28:23.0000000","0:00:05","Google Chrome"
"InfoVis 01 - Presentaciones de Google - Google Chrome","2023-05-04T18:28:23.0000000","2023-05-04T18:28:37.0000000","0:00:14","Google Chrome"
"ManicTime - Estándar (gratis)","2023-05-04T18:40:44.0000000","2023-05-04T18:40:56.0000000","0:00:12","ManicTime"
"InfoVis 01 - Presentaciones de Google - Google Chrome","2023-05-04T18:40:56.0000000","2023-05-04T18:42:44.0000000","0:01:48","Google Chrome"
"infovis ECD 2022B (2023-05) - Hojas de cálculo de Google - Google Chrome","2023-05-04T18:42:44.0000000","2023-05-04T18:42:49.0000000","0:00:05","Google Chrome"
"When Pie Charts Are Okay (Seriously): Guidelines for Using Pie and Donut Charts | Depict Data Studio - Google Chrome","2023-05-04T18:42:49.0000000","2023-05-04T18:44:04.0000000","0:01:15","Google Chrome"
"excesoMortalidad - main - RStudio","2023-05-04T19:07:23.0000000","2023-05-04T19:07:40.0000000","0:00:17","RStudio"
"When Pie Charts Are Okay (Seriously): Guidelines for Using Pie and Donut Charts | Depict Data Studio - Google Chrome","2023-05-04T19:07:40.0000000","2023-05-04T19:07:45.0000000","0:00:05","Google Chrome"
"Cómo saber cuánto tiempo pasamos en Internet o cada programa - Google Chrome","2023-05-04T19:07:45.0000000","2023-05-04T19:07:51.0000000","0:00:06","Google Chrome"
"ggplot tufte theme - Buscar con Google - Google Chrome","2023-05-04T19:07:51.0000000","2023-05-04T19:07:59.0000000","0:00:08","Google Chrome"
"ggplot tufte theme - Búsqueda de Google - Google Chrome","2023-05-04T19:07:59.0000000","2023-05-04T19:08:37.0000000","0:00:38","Google Chrome"
"excesoMortalidad - main - RStudio","2023-05-04T19:08:37.0000000","2023-05-04T19:09:58.0000000","0:01:21","RStudio"
"RStudio","2023-05-04T19:09:58.0000000","2023-05-04T19:10:04.0000000","0:00:06","RStudio"
"Update Available","2023-05-04T19:10:04.0000000","2023-05-04T19:11:07.0000000","0:01:03","RStudio"
"uruguay - main - RStudio","2023-05-04T19:11:07.0000000","2023-05-04T19:11:42.0000000","0:00:35","RStudio"
"ggplot tufte theme - Búsqueda de Google - Google Chrome","2023-05-04T19:11:42.0000000","2023-05-04T19:12:06.0000000","0:00:24","Google Chrome"
"ggplot tufte theme - Búsqueda de Google - Google Chrome","2023-05-04T19:12:06.0000000","2023-05-04T19:12:11.0000000","0:00:05","Google Chrome"
"ggplot histograms - Buscar con Google - Google Chrome","2023-05-04T19:12:11.0000000","2023-05-04T19:12:27.0000000","0:00:16","Google Chrome"
"GGPLOT Histogram with Density Curve in R using Secondary Y-axis - Datanovia - Google Chrome","2023-05-04T19:12:27.0000000","2023-05-04T19:13:22.0000000","0:00:55","Google Chrome"
"ggplot histograms - Buscar con Google - Google Chrome","2023-05-04T19:13:22.0000000","2023-05-04T19:13:28.0000000","0:00:06","Google Chrome"
"ggplot2 histogram plot : Quick start guide - R software and data visualization - Easy Guides - Wiki - STHDA - Google Chrome","2023-05-04T19:13:28.0000000","2023-05-04T19:13:55.0000000","0:00:27","Google Chrome"
"ggplot histograms - Buscar con Google - Google Chrome","2023-05-04T19:13:55.0000000","2023-05-04T19:14:05.0000000","0:00:10","Google Chrome"
"ggplot histograms density - Buscar con Google - Google Chrome","2023-05-04T19:14:05.0000000","2023-05-04T19:14:20.0000000","0:00:15","Google Chrome"
"Histogram with density in ggplot2 | R CHARTS - Google Chrome","2023-05-04T19:14:20.0000000","2023-05-04T19:15:13.0000000","0:00:53","Google Chrome"
"uruguay - main - RStudio","2023-05-04T19:15:13.0000000","2023-05-04T19:16:53.0000000","0:01:40","RStudio"
"Histogram with density in ggplot2 | R CHARTS - Google Chrome","2023-05-04T19:16:53.0000000","2023-05-04T19:17:01.0000000","0:00:08","Google Chrome"
"uruguay - main - RStudio","2023-05-04T19:17:01.0000000","2023-05-04T19:17:09.0000000","0:00:08","RStudio"
"Histogram with density in ggplot2 | R CHARTS - Google Chrome","2023-05-04T19:17:09.0000000","2023-05-04T19:17:14.0000000","0:00:05","Google Chrome"
"uruguay - main - RStudio","2023-05-04T19:17:14.0000000","2023-05-04T19:17:43.0000000","0:00:29","RStudio"
"C:/Users/penninivel/Documents/uruguay - Shiny","2023-05-04T19:17:43.0000000","2023-05-04T19:18:17.0000000","0:00:34","RStudio"
